CTV3Code,CTV3PreferredTermDesc
Xa1rp,Terminalisation of thumb
XE0JA,Through ankle amputation
7L070,Through ankle amputation (& [Pirogoff] or [Syme])
7L044,Through elbow amputation
XE0J8,Through knee amputation
7C200,Total amputation of penis
7K107,Total excision of coccyx
74080,Total excision of nose
73000,Total excision of pinna
7L073,Transmetatarsal amputation (& [Chopart] or [Ray])
XA01m,Traumatic amputation
S9609,"Traumatic amputation finger tip, type 3 (partial loss of terminal phalanx with corresponding loss of pulp and nail but not involving lunula)"
S9607,"Traumatic amputation fingertip, type 1 (pulp only involved)"
S9608,"Traumatic amputation fingertip, type 2 (pulp and nail loss)"
XA01o,Traumatic amputation of arm
Xa3hw,Traumatic amputation of arm NOS
XE1md,Traumatic amputation of arm and hand
S97z.,Traumatic amputation of arm and hand NOS
SR41.,Traumatic amputation of both feet
SR40.,Traumatic amputation of both hands
S822.,Traumatic amputation of ear
SF13.,Traumatic amputation of external genital organs
S96..,Traumatic amputation of finger
S96z.,Traumatic amputation of finger NOS
S961.,Traumatic amputation of finger with complication
XA01r,Traumatic amputation of fingertip
S960A,"Traumatic amputation of fingertip, type 4 (partial loss of terminal phalanx, pulp and nail including lanula)"
SA600,Traumatic amputation of foot
SA6z.,Traumatic amputation of foot NOS
XA01p,Traumatic amputation of hand
XA01n,Traumatic amputation of head
SA701,Traumatic amputation of leg
SA8..,Traumatic amputation of limb
SF12.,Traumatic amputation of part of thorax
Xa2X0,Traumatic amputation of penis
XA0A1,Traumatic amputation of testis
S95..,Traumatic amputation of thumb
S95z.,Traumatic amputation of thumb NOS
S951.,Traumatic amputation of thumb with complication
S950.,Traumatic amputation of thumb without mention of complication
SA5..,Traumatic amputation of toe
SA51.,Traumatic amputation of toe(s) with complication
S9505,"Traumatic amputation thumb tip, type 1 (pulp only involved)"
S9506,"Traumatic amputation thumb tip, type 2 (pulp and nail loss)"
S9507,"Traumatic amputation thumb tip, type 3 (partial loss of terminal phalanx with corresponding loss of pulp and nail but not involving lunula)"
S9508,"Traumatic amputation thumb tip, type 4 (partial loss of terminal phalanx, pulp and nail including lunula)"
S9722,"Traumatic amputation, above elbow"
S9701,"Traumatic amputation, below elbow"
S9603,"Traumatic amputation, finger, middle phalanx"
S9605,"Traumatic amputation, finger, multiple"
S9601,"Traumatic amputation, finger, proximal phalanx"
S9604,"Traumatic amputation, finger, through distal interphalangeal joint"
S9600,"Traumatic amputation, finger, through metacarpophalangeal joint"
S9602,"Traumatic amputation, finger, through proximal interphalangeal joint"
S9720,"Traumatic amputation, forequarter"
SA501,"Traumatic amputation, greater toe"
S9703,"Traumatic amputation, hand, through metacarpals"
SA500,"Traumatic amputation, lesser toe"
SA502,"Traumatic amputation, multiple toes"
SA702,"Traumatic amputation, through ankle"
S9700,"Traumatic amputation, through elbow"
SA722,"Traumatic amputation, through hip"
SA720,"Traumatic amputation, through knee"
S9721,"Traumatic amputation, through shoulder"
SA721,"Traumatic amputation, through thigh"
S9702,"Traumatic amputation, through wrist"
S9504,"Traumatic amputation, thumb tip"
S9502,"Traumatic amputation, thumb, proximal phalanx"
S9503,"Traumatic amputation, thumb, through interphalangeal joint"
S9500,"Traumatic amputation, thumb, through metacarpal"
S9501,"Traumatic amputation, thumb, through metacarpophalangeal joint"
S97..,Traumatic amputation: [arm ] &/or [hand]
SR4..,Traumatic amputations involving multiple body regions
SA63.,Traumatic bilateral amputation of foot with complication
SA77.,Traumatic bilateral amputation of leg with complication
SA76.,"Traumatic bilateral amputation of leg, without mention of complication"
SA61.,Traumatic unilateral amputation of foot with complication
S973.,"Traumatic unilateral amputation, above elbow, with complication"
SA73.,"Traumatic unilateral amputation, above knee, with complication"
S971.,"Traumatic unilateral amputation, below elbow, with complication"
SA71.,"Traumatic unilateral amputation, below knee, with complication"
Xa3rB,Trimming - amputation stump
Xa394,Trimming of amputated tip of terminal phalanx
XC044,Type of amputation
.14N4,Unknown Redundant Concept
.2G42,Unknown Redundant Concept
.2G43,Unknown Redundant Concept
.2G44,Unknown Redundant Concept
.2G45,Unknown Redundant Concept
.2G46,Unknown Redundant Concept
.2G47,Unknown Redundant Concept
.2G56,Unknown Redundant Concept
.2G57,Unknown Redundant Concept
.2G61,Unknown Redundant Concept
.2G62,Unknown Redundant Concept
.685I,Unknown Redundant Concept
.7415,Unknown Redundant Concept
.7577,Unknown Redundant Concept
.7BB3,Unknown Redundant Concept
.7C96,Unknown Redundant Concept
.7ET1,Unknown Redundant Concept
.7ET2,Unknown Redundant Concept
.7ET3,Unknown Redundant Concept
.7ET4,Unknown Redundant Concept
.7ET5,Unknown Redundant Concept
.7ET6,Unknown Redundant Concept
.7ET7,Unknown Redundant Concept
.7ET8,Unknown Redundant Concept
.7ET9,Unknown Redundant Concept
.7EU.,Unknown Redundant Concept
.7EU1,Unknown Redundant Concept
.7EU2,Unknown Redundant Concept
.7EU3,Unknown Redundant Concept
.7EU4,Unknown Redundant Concept
.7EU5,Unknown Redundant Concept
.7EU6,Unknown Redundant Concept
.7EU7,Unknown Redundant Concept
.7EU8,Unknown Redundant Concept
.7EU9,Unknown Redundant Concept
.7EUA,Unknown Redundant Concept
.7EV1,Unknown Redundant Concept
.P49.,Unknown Redundant Concept
.P491,Unknown Redundant Concept
.P492,Unknown Redundant Concept
.P493,Unknown Redundant Concept
.P494,Unknown Redundant Concept
.P4B.,Unknown Redundant Concept
.P4B1,Unknown Redundant Concept
.P4B2,Unknown Redundant Concept
.P4B3,Unknown Redundant Concept
2G42.,Unknown Redundant Concept
2G43.,Unknown Redundant Concept
2G44.,Unknown Redundant Concept
2G45.,Unknown Redundant Concept
2G46.,Unknown Redundant Concept
2G47.,Unknown Redundant Concept
2G4A.,Unknown Redundant Concept
2G4B.,Unknown Redundant Concept
2G56.,Unknown Redundant Concept
2G57.,Unknown Redundant Concept
2G61.,Unknown Redundant Concept
2G62.,Unknown Redundant Concept
7L055,Unknown Redundant Concept
7L056,Unknown Redundant Concept
7L084,Unknown Redundant Concept
7L085,Unknown Redundant Concept
7P200,Unknown Redundant Concept
S84x2,Unknown Redundant Concept
S8X..,Unknown Redundant Concept
S906.,Unknown Redundant Concept
S9606,Unknown Redundant Concept
SA6..,Unknown Redundant Concept
SA7..,Unknown Redundant Concept
SA7X.,Unknown Redundant Concept
Xa6om,Upper thigh amputation
U635.,"[X]Amputation of limb(s) as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
SyuA9,"[X]Multiple traumatic amputations, unspecified"
SyuKM,[X]Other and unspecified amputation stump complications
Syu8F,"[X]Traumatic amputation of lower leg, level unspecified"
Syu9F,[X]Traumatic amputation of other parts of foot
Syu0H,[X]Traumatic amputation of other parts of head
Syu6G,[X]Traumatic amputation of two or more fingers alone (complete)(partial)
Syu9E,[X]Traumatic amputation of two or more toes
Syu0J,[X]Traumatic amputation of unspecified part of head
